Name,periority,001_bloom,005_bit,010_slit_scan,015_trace,020_rgb_sparate,025_glitch1,030_glitch2,035_scan_line,040_radial_blur,045_invert,050_barrel_blur,055_fake_glass,060_Special_Glitch,065_grain,070_splt_screen,075_monitor
1,0.1,0.33,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2,0.1,0,0,0,0.3,0,0,0,0,0,1,1,0,0,0.35,0,0
3,0.1,0,0,0,1,0,0,0.6,0,1,1,1,0,1,1,0,0
4,0.1,0.15,0,0,0,0,0,1,0,0,0,0,0,0,0.35,0,0
5,0.1,0.15,0,1,0,0,0,1,0,0,0,0,0,0,0.35,0,0
6,0.1,0,1,0,0.3,0,0,0,1,0,0,0,0,1,0.35,0,0
7,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.35,0,0
8,0.1,0,0,0,0.3,0,0,0,1,0,0,0,0,0,0.5,0,0
9,0.1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,0
10,0.1,0,0,0,0.3,0,0,0,0,0,0,1,0,0,1,0.9,1
11,1,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0.35,0,0
12,1,0.1,0,0,0.3,0,0,0,0,1,1,1,0,0,0.35,0,0
13,1,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0.35,0,0